"GiroX"	"GiroY"	"GiroZ"	"Class"
-4.17333333333333e-05	4.53333333333333e-06	8.98666666666667e-05	"Estable"
4.4e-06	4.66666666666667e-06	8.56e-05	"Estable"
-3.06666666666667e-06	-1.48e-05	3.93333333333333e-05	"Estable"
-3.92e-05	-1.66666666666667e-05	4.32e-05	"Estable"
-2.26666666666667e-05	2.93333333333333e-06	3.66666666666667e-05	"Estable"
1.01333333333333e-05	2.8e-06	6.02666666666667e-05	"Estable"
7.2e-06	-1.33333333333333e-07	7.4e-05	"Estable"
4.72e-05	1.46666666666667e-05	8.13333333333333e-05	"Estable"
4.16e-05	1.44e-05	0.000133466666666667	"Estable"
-4.46666666666667e-05	-2.8e-06	9.57333333333333e-05	"Estable"
-2.30666666666667e-05	-1.06666666666667e-06	0.0001068	"Estable"
-2.76e-05	-1.70666666666667e-05	9.22666666666667e-05	"Estable"
-4.81333333333333e-05	1.18666666666667e-05	0.000103066666666667	"Estable"
2.58666666666667e-05	1.46666666666667e-05	9.84e-05	"Estable"
2.04e-05	2.66666666666667e-07	0.0001176	"Estable"
-6.53333333333333e-06	-2.66666666666667e-06	9.81333333333333e-05	"Estable"
-4.6e-05	-3.49333333333333e-05	6.84e-05	"Estable"
-6.53333333333333e-06	1.58666666666667e-05	7.98666666666667e-05	"Estable"
-3.13333333333333e-05	-9.33333333333333e-06	9.17333333333333e-05	"Estable"
1.17333333333333e-05	-7.06666666666667e-06	7.54666666666667e-05	"Estable"
-2.92e-05	-2.58666666666667e-05	6.45333333333333e-05	"Estable"
-4.42666666666667e-05	-2.97333333333333e-05	1.26666666666667e-05	"Estable"
-4.30666666666667e-05	-1.06666666666667e-05	8.89333333333333e-05	"Estable"
-3.97333333333333e-05	-1.38666666666667e-05	8.37333333333333e-05	"Estable"
-7.30666666666667e-05	-1.37333333333333e-05	4.82666666666667e-05	"Estable"
-7.50666666666667e-05	-3.89333333333333e-05	7.77333333333333e-05	"Estable"
-2.2e-05	2.88e-05	8.6e-05	"Estable"
-1.38666666666667e-05	-9.33333333333334e-07	0.000112133333333333	"Estable"
2.30666666666667e-05	4.30666666666667e-05	0.000141733333333333	"Estable"
-2e-05	3.22666666666667e-05	0.000132	"Estable"
-3.84e-05	2.24e-05	0.0001164	"Estable"
-6.96e-05	-8.93333333333333e-06	0.0001276	"Estable"
-7.33333333333333e-05	-1.82666666666667e-05	0.000140533333333333	"Estable"
-3.53333333333333e-05	2.18666666666667e-05	0.000104533333333333	"Estable"
-1.56e-05	5.46666666666667e-06	0.000146933333333333	"Estable"
-2.2e-05	-2e-06	0.000118266666666667	"Estable"
-2.46666666666667e-05	1.12e-05	0.000160666666666667	"Estable"
-5.26666666666667e-05	-6e-06	0.000104	"Estable"
-5.49333333333333e-05	-7.86666666666667e-06	0.000115066666666667	"Estable"
-5.09333333333333e-05	-1.42666666666667e-05	0.000107466666666667	"Estable"
-1.6e-05	-4.13333333333333e-06	4.53333333333333e-05	"Estable"
1.30666666666667e-05	-1.50666666666667e-05	0.000113333333333333	"Estable"
-1.46666666666667e-06	3.14666666666667e-05	0.0001148	"Estable"
4.46666666666667e-05	4.4e-05	0.000144266666666667	"Estable"
2.44e-05	1.97333333333333e-05	9.92e-05	"Estable"
4.4e-05	3.72e-05	0.0001668	"Estable"
3.6e-05	2.61333333333333e-05	9.48e-05	"Estable"
3.46666666666667e-06	1.81333333333333e-05	0.0001012	"Estable"
-8.93333333333333e-06	-8e-06	7.22666666666667e-05	"Estable"
1.05333333333333e-05	8.93333333333333e-06	7.17333333333333e-05	"Estable"
2.08e-05	2.89333333333333e-05	0.000107333333333333	"Estable"
2.49333333333333e-05	3.69333333333333e-05	1e-04	"Estable"
3.64e-05	3.56e-05	0.000115866666666667	"Estable"
8.4e-06	2.45333333333333e-05	5.16e-05	"Estable"
4.93333333333333e-06	5.46666666666667e-06	7.36e-05	"Estable"
-1.10666666666667e-05	2.88e-05	0.000114933333333333	"Estable"
-5.2e-06	1.86666666666667e-05	7.96e-05	"Estable"
2.48e-05	1.32e-05	8.65333333333333e-05	"Estable"
2.13333333333333e-05	3.17333333333333e-05	4.22666666666667e-05	"Estable"
2.69333333333333e-05	5.01333333333333e-05	6.88e-05	"Estable"
2.97333333333333e-05	3.28e-05	9.73333333333333e-05	"Estable"
-1.28e-05	1.17333333333333e-05	7.25333333333333e-05	"Estable"
2.26666666666667e-05	3.37333333333333e-05	9.01333333333333e-05	"Estable"
5.90666666666667e-05	5.97333333333333e-05	8.30666666666667e-05	"Estable"
-3.86666666666667e-06	2.12e-05	6.38666666666667e-05	"Estable"
3.33333333333333e-06	2.37333333333333e-05	5.65333333333333e-05	"Estable"
9.06666666666667e-06	3.96e-05	8.76e-05	"Estable"
1.48e-05	3.73333333333333e-05	0.000104133333333333	"Estable"
-3.06666666666667e-05	1.05333333333333e-05	9.73333333333333e-05	"Estable"
-6e-05	9.73333333333333e-06	0.000101333333333333	"Estable"
-2.66666666666667e-07	3.12e-05	0.0001304	"Estable"
-1.26666666666667e-05	3.58666666666667e-05	0.0001124	"Estable"
-1.09333333333333e-05	1.29333333333333e-05	7.68e-05	"Estable"
7.06666666666667e-06	2.93333333333333e-05	0.000147066666666667	"Estable"
-1.02666666666667e-05	-1.86666666666667e-06	9.56e-05	"Estable"
7.86666666666667e-06	1.86666666666667e-05	0.0001188	"Estable"
-1.26666666666667e-05	2.17333333333333e-05	0.0001128	"Estable"
-4.34666666666667e-05	2.32e-05	5.66666666666667e-05	"Estable"
-3.30666666666667e-05	1.74666666666667e-05	0.000114933333333333	"Estable"
-1.93333333333333e-05	1.26666666666667e-05	7.50666666666667e-05	"Estable"
-4.48e-05	-7.73333333333333e-06	5.26666666666667e-05	"Estable"
-8.01333333333333e-05	-3.08e-05	1.37333333333333e-05	"Estable"
-1.33333333333333e-07	7.73333333333333e-06	8.81333333333333e-05	"Estable"
-2.6e-05	2.66666666666667e-06	8.61333333333333e-05	"Estable"
-2.18666666666667e-05	4.49333333333333e-05	6.08e-05	"Estable"
-3.89333333333333e-05	1.37333333333333e-05	7.33333333333333e-05	"Estable"
-1.21333333333333e-05	2.97333333333333e-05	8.6e-05	"Estable"
2.26666666666667e-06	3.74666666666667e-05	0.000107466666666667	"Estable"
-4.76e-05	6.8e-06	8.2e-05	"Estable"
-3.82666666666667e-05	-8.13333333333333e-06	5.29333333333333e-05	"Estable"
-2.42666666666667e-05	-8e-07	3.06666666666667e-05	"Estable"
-5.12e-05	-1.84e-05	1.98666666666667e-05	"Estable"
-3.50666666666667e-05	-7.06666666666667e-06	1.85333333333333e-05	"Estable"
-5.02666666666667e-05	-1.17333333333333e-05	6.93333333333333e-05	"Estable"
-3.06666666666667e-05	1.41333333333333e-05	7.72e-05	"Estable"
-7.85333333333333e-05	-9.33333333333333e-06	7.01333333333333e-05	"Estable"
-5.32e-05	-4.26666666666667e-06	2.4e-05	"Estable"
-4.61333333333333e-05	-2.56e-05	1.22666666666667e-05	"Estable"
-4.08e-05	1.33333333333333e-07	4.08e-05	"Estable"
-1.92e-05	2.69333333333333e-05	8.57333333333333e-05	"Estable"
-5.16e-05	8.53333333333333e-06	6.36e-05	"Estable"
-2e-06	1.48e-05	2.29333333333333e-05	"Estable"
-6.06666666666667e-05	2.8e-05	5.92e-05	"Estable"
-4.22666666666667e-05	1.2e-06	2.64e-05	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
NA	NA	NA	"Estable"
