"GiroX"	"GiroY"	"GiroZ"	"Class"
38.3778	-103.2864	-9.7567	"Atras"
18.8517	-72.3203	-13.8046	"Atras"
23.826	-77.6988	-10.8183	"Atras"
21.9805	-83.4066	-9.4176	"Atras"
12.4104	-76.8235	-13.4852	"Atras"
1.931	-75.2625	-11.3839	"Atras"
-5.6055	-119.3112	-11.3554	"Atras"
-12.7571	-127.9154	-7.6102	"Atras"
0.0378000000000001	-100.0472	-3.7037	"Atras"
10.2226	-95.3008	-6.3945	"Atras"
5.5265	-89.6805	-7.2735	"Atras"
